event,Difference,Relative_reduction,Difference_lower,Difference_upper,Relative_lower,Relative_upper
Live discharge,-0.06572449820650625,0.30430638333717747,-0.07465134494750258,-0.056982181139416326,0.2663852289735506,0.3409440562247572
In-hospital death,-0.0386503394146111,0.22343341352295737,-0.047746333500230144,-0.029948674379894874,0.1787876778377826,0.2672423110635509
