event,Calibration_in_large,CIL_lower,CIL_upper,Calibration_intercept,Intercept_lower,Intercept_upper,Slope,Slope_lower,Slope_upper
In-hospital death,0.09170301503642106,-0.061723390217155116,0.244059627237533,0.07633955835731722,-0.11889910552728605,0.3008844092056843,0.9841367542404159,0.8652493558770157,1.1235243172940992
Live discharge,-0.28738223011312075,-0.42612714389413103,-0.13898269767115107,-0.2989310271634949,-0.45881169264612764,-0.138069483569484,1.020742328132571,0.916046445147024,1.1448772372024085
