event,predicted,smooth,lower,upper
Live discharge,0.16514419115606455,0.20013536230089818,0.13584006039712057,0.26751466007423297
Live discharge,0.17539885002897598,0.2017196316267577,0.13906218171294474,0.2654284853875598
Live discharge,0.1856535089018874,0.20334452832217761,0.14327411371806423,0.26563090624503655
Live discharge,0.19590816777479883,0.2051491332258572,0.14656755627978127,0.2651265637968722
Live discharge,0.20616282664771024,0.20725348703411162,0.15113000626772483,0.2648255066568363
Live discharge,0.21641748552062168,0.20975515891459956,0.15655671639184984,0.2653023043141173
Live discharge,0.22667214439353311,0.2127272208427151,0.16108650191430504,0.26672189797006846
Live discharge,0.23692680326644455,0.21621759637521104,0.16597888089907115,0.26920726730176087
Live discharge,0.24718146213935596,0.22024974109320256,0.1714614601443134,0.2718571778277323
Live discharge,0.25743612101226737,0.22482456431772982,0.1768868584018981,0.2757062072178617
Live discharge,0.2676907798851788,0.22992342416769307,0.18271661436357597,0.2803277612460037
Live discharge,0.27794543875809025,0.23551194180233578,0.18855125715788285,0.2860447735496325
Live discharge,0.2882000976310017,0.24154431209757626,0.1947606464789308,0.2924992693685019
Live discharge,0.29845475650391307,0.24796775792870027,0.2013656085328102,0.2990394939174304
Live discharge,0.3087094153768245,0.25472679183490565,0.20818284297261175,0.3053947630387789
Live discharge,0.31896407424973594,0.2617670060287558,0.2139513356585486,0.3110933856363824
Live discharge,0.3292187331226474,0.2690381931088546,0.22081295007331878,0.3178583328389606
Live discharge,0.3394733919955588,0.27649668582257575,0.22916334129656887,0.3252903068124917
Live discharge,0.34972805086847025,0.2841068788543319,0.2366210834461616,0.3324502452701062
Live discharge,0.3599827097413817,0.2918419509228563,0.24470235776477053,0.3398912955896308
Live discharge,0.37023736861429307,0.2996838423511615,0.2519498230424061,0.34773942238402433
Live discharge,0.3804920274872045,0.30762256928940307,0.26077233891867985,0.3556669214493476
Live discharge,0.39074668636011595,0.3156549810421762,0.2683890544126205,0.36337827022018615
