feature,repeat,importance,fold,model
glucose,1,0.000403992778946205,2,Multinomial logistic regression
glucose,2,0.0003386608430348548,2,Multinomial logistic regression
blood_urea_nitrogen,1,0.0007707164113422982,2,Multinomial logistic regression
blood_urea_nitrogen,2,0.0008593722228657508,2,Multinomial logistic regression
urine_output,1,-0.00036314559535532975,2,Multinomial logistic regression
urine_output,2,-0.001220231515566994,2,Multinomial logistic regression
adl_patient_reported,1,0.028257674737636185,2,Multinomial logistic regression
adl_patient_reported,2,0.027785813590958996,2,Multinomial logistic regression
adl_surrogate_reported,1,0.001160094237758924,2,Multinomial logistic regression
adl_surrogate_reported,2,0.0010421188923087077,2,Multinomial logistic regression
sex,1,0.00014020083343646572,2,Multinomial logistic regression
sex,2,0.00011646065260662031,2,Multinomial logistic regression
race,1,0.0005712122780218987,2,Multinomial logistic regression
race,2,0.0002525510181066726,2,Multinomial logistic regression
income_category,1,0.002459482521478512,2,Multinomial logistic regression
income_category,2,0.0005834817047139229,2,Multinomial logistic regression
diagnosis_group,1,0.009443304347564074,2,Multinomial logistic regression
diagnosis_group,2,0.009434051565295587,2,Multinomial logistic regression
diagnosis_class,1,0.016761813075208354,2,Multinomial logistic regression
diagnosis_class,2,0.011210863116181663,2,Multinomial logistic regression
diabetes,1,-3.626785245625097e-06,2,Multinomial logistic regression
diabetes,2,2.4502843462947954e-05,2,Multinomial logistic regression
dementia,1,-0.00019694643199530404,2,Multinomial logistic regression
dementia,2,-0.0008022434364039488,2,Multinomial logistic regression
cancer_status,1,0.000190448178834568,2,Multinomial logistic regression
cancer_status,2,0.00020670440248801714,2,Multinomial logistic regression
age,1,0.0033156461941423465,3,Multinomial logistic regression
age,2,0.0027803589498533454,3,Multinomial logistic regression
years_of_education,1,0.0001786494841409525,3,Multinomial logistic regression
years_of_education,2,-0.0003240532438571475,3,Multinomial logistic regression
number_of_comorbidities,1,0.0011054969320676011,3,Multinomial logistic regression
number_of_comorbidities,2,0.0004313839540607267,3,Multinomial logistic regression
hospital_day_at_study_entry,1,0.005214264673269631,3,Multinomial logistic regression
hospital_day_at_study_entry,2,0.0062621790616682604,3,Multinomial logistic regression
mean_arterial_pressure,1,0.0012982945417918113,3,Multinomial logistic regression
mean_arterial_pressure,2,0.0008150114028477873,3,Multinomial logistic regression
white_blood_cell_count,1,0.00011781421562803707,3,Multinomial logistic regression
white_blood_cell_count,2,0.00046247534528109924,3,Multinomial logistic regression
heart_rate,1,0.0012039142527536795,3,Multinomial logistic regression
heart_rate,2,0.00281365864716393,3,Multinomial logistic regression
respiratory_rate,1,-9.237147345408925e-05,3,Multinomial logistic regression
respiratory_rate,2,-1.5935999983146543e-05,3,Multinomial logistic regression
temperature,1,0.000239818195368946,3,Multinomial logistic regression
temperature,2,-5.092495613145953e-05,3,Multinomial logistic regression
pao2_fio2_ratio,1,0.0006398127003117704,3,Multinomial logistic regression
pao2_fio2_ratio,2,5.201484246217247e-05,3,Multinomial logistic regression
albumin,1,0.00011058746164063771,3,Multinomial logistic regression
albumin,2,0.0008539998271949178,3,Multinomial logistic regression
bilirubin,1,0.004223493063317041,3,Multinomial logistic regression
bilirubin,2,0.0023247450822010407,3,Multinomial logistic regression
creatinine,1,0.0004085460982989342,3,Multinomial logistic regression
creatinine,2,5.8503635998075065e-05,3,Multinomial logistic regression
sodium,1,-6.415889262895158e-06,3,Multinomial logistic regression
sodium,2,6.383855011743433e-05,3,Multinomial logistic regression
arterial_ph,1,0.0005716996742252678,3,Multinomial logistic regression
arterial_ph,2,0.0007767751960737201,3,Multinomial logistic regression
glucose,1,0.00017884934705636457,3,Multinomial logistic regression
glucose,2,-0.0005631119795806994,3,Multinomial logistic regression
blood_urea_nitrogen,1,0.0008187555618998088,3,Multinomial logistic regression
blood_urea_nitrogen,2,0.0007534732895730367,3,Multinomial logistic regression
urine_output,1,0.00042964483806584575,3,Multinomial logistic regression
urine_output,2,0.0007451214844394483,3,Multinomial logistic regression
adl_patient_reported,1,0.02288358365211174,3,Multinomial logistic regression
adl_patient_reported,2,0.02243264444670115,3,Multinomial logistic regression
adl_surrogate_reported,1,0.0007139977130544151,3,Multinomial logistic regression
adl_surrogate_reported,2,0.0004272592418804455,3,Multinomial logistic regression
sex,1,-2.060662391317747e-05,3,Multinomial logistic regression
sex,2,-9.305541165960385e-07,3,Multinomial logistic regression
race,1,-0.0003454705331476515,3,Multinomial logistic regression
race,2,3.4090865064229092e-06,3,Multinomial logistic regression
income_category,1,0.0003942106527228817,3,Multinomial logistic regression
income_category,2,0.00025176229141063433,3,Multinomial logistic regression
diagnosis_group,1,0.0047612747459724325,3,Multinomial logistic regression
diagnosis_group,2,0.006085244283080826,3,Multinomial logistic regression
diagnosis_class,1,0.016657048575321104,3,Multinomial logistic regression
diagnosis_class,2,0.014830893522041255,3,Multinomial logistic regression
diabetes,1,2.4469071454480407e-05,3,Multinomial logistic regression
diabetes,2,-6.209305162432899e-05,3,Multinomial logistic regression
dementia,1,0.0013673631882438197,3,Multinomial logistic regression
dementia,2,0.001372075723479138,3,Multinomial logistic regression
cancer_status,1,9.8941193087565e-05,3,Multinomial logistic regression
cancer_status,2,5.8301561439988436e-05,3,Multinomial logistic regression
age,1,0.0007808217239584081,4,Multinomial logistic regression
age,2,0.0011302985209563632,4,Multinomial logistic regression
years_of_education,1,0.0014960362041871456,4,Multinomial logistic regression
years_of_education,2,0.0003807970773136715,4,Multinomial logistic regression
number_of_comorbidities,1,0.00046166041848033634,4,Multinomial logistic regression
number_of_comorbidities,2,0.00038220746864087163,4,Multinomial logistic regression
hospital_day_at_study_entry,1,0.0045313773438010185,4,Multinomial logistic regression
hospital_day_at_study_entry,2,0.002588571627891584,4,Multinomial logistic regression
mean_arterial_pressure,1,0.00028153571542186007,4,Multinomial logistic regression
mean_arterial_pressure,2,0.0005088336970464624,4,Multinomial logistic regression
white_blood_cell_count,1,0.0025191782449981714,4,Multinomial logistic regression
white_blood_cell_count,2,0.002775519115295444,4,Multinomial logistic regression
heart_rate,1,0.0014683920059658795,4,Multinomial logistic regression
heart_rate,2,0.0015583129121491401,4,Multinomial logistic regression
respiratory_rate,1,0.00014063267267150348,4,Multinomial logistic regression
respiratory_rate,2,0.00014124315434299595,4,Multinomial logistic regression
temperature,1,0.000201213507664888,4,Multinomial logistic regression
temperature,2,-0.00015333319279708935,4,Multinomial logistic regression
pao2_fio2_ratio,1,-0.00011415183503044046,4,Multinomial logistic regression
pao2_fio2_ratio,2,0.0006393258138951974,4,Multinomial logistic regression
albumin,1,0.0026605454946693197,4,Multinomial logistic regression
albumin,2,0.0012122017197384316,4,Multinomial logistic regression
bilirubin,1,0.004477383095743415,4,Multinomial logistic regression
bilirubin,2,0.0031383832725047633,4,Multinomial logistic regression
creatinine,1,0.0011592227823039036,4,Multinomial logistic regression
creatinine,2,0.0014441594688761883,4,Multinomial logistic regression
sodium,1,4.4363625938792506e-05,4,Multinomial logistic regression
sodium,2,-0.0001979246092665976,4,Multinomial logistic regression
arterial_ph,1,0.0012460327728767706,4,Multinomial logistic regression
arterial_ph,2,0.0008648859320450342,4,Multinomial logistic regression
glucose,1,0.0003598507267179585,4,Multinomial logistic regression
glucose,2,0.00017137711919718024,4,Multinomial logistic regression
blood_urea_nitrogen,1,0.00032569422840766915,4,Multinomial logistic regression
blood_urea_nitrogen,2,0.0008475707154639578,4,Multinomial logistic regression
urine_output,1,-0.0005035643417829472,4,Multinomial logistic regression
urine_output,2,-1.5823425472183406e-05,4,Multinomial logistic regression
adl_patient_reported,1,0.02874331609022035,4,Multinomial logistic regression
adl_patient_reported,2,0.025750687303278286,4,Multinomial logistic regression
adl_surrogate_reported,1,0.0014918841402127847,4,Multinomial logistic regression
adl_surrogate_reported,2,0.0010160214944104906,4,Multinomial logistic regression
sex,1,-2.2795242114320713e-05,4,Multinomial logistic regression
sex,2,2.1890961485027116e-05,4,Multinomial logistic regression
race,1,0.0002387306942192302,4,Multinomial logistic regression
race,2,0.0002878585487056662,4,Multinomial logistic regression
income_category,1,0.0006771971746671879,4,Multinomial logistic regression
income_category,2,0.00015867513744194373,4,Multinomial logistic regression
diagnosis_group,1,0.007193273080317891,4,Multinomial logistic regression
diagnosis_group,2,0.00920438886167202,4,Multinomial logistic regression
diagnosis_class,1,0.0142003974017757,4,Multinomial logistic regression
diagnosis_class,2,0.017444579211498973,4,Multinomial logistic regression
diabetes,1,1.876413391438403e-05,4,Multinomial logistic regression
diabetes,2,-1.729587466314797e-05,4,Multinomial logistic regression
dementia,1,0.00032342648317412737,4,Multinomial logistic regression
dementia,2,0.00031198421096612083,4,Multinomial logistic regression
cancer_status,1,-0.00041701739144325844,4,Multinomial logistic regression
cancer_status,2,0.00010869445780065101,4,Multinomial logistic regression
age,1,0.0014839178518992469,5,Multinomial logistic regression
age,2,0.004188488204945884,5,Multinomial logistic regression
years_of_education,1,0.0007050940882252776,5,Multinomial logistic regression
years_of_education,2,0.0007198368467165039,5,Multinomial logistic regression
number_of_comorbidities,1,0.0009878523927683847,5,Multinomial logistic regression
number_of_comorbidities,2,0.0009536885292063813,5,Multinomial logistic regression
hospital_day_at_study_entry,1,0.005331445847894578,5,Multinomial logistic regression
hospital_day_at_study_entry,2,0.0051467802440382515,5,Multinomial logistic regression
mean_arterial_pressure,1,0.0005115467248465178,5,Multinomial logistic regression
mean_arterial_pressure,2,0.0007711137775465726,5,Multinomial logistic regression
white_blood_cell_count,1,-2.4372320706123052e-05,5,Multinomial logistic regression
white_blood_cell_count,2,0.0010995334441368798,5,Multinomial logistic regression
heart_rate,1,0.0004779740004716704,5,Multinomial logistic regression
heart_rate,2,-0.0004567594237432915,5,Multinomial logistic regression
respiratory_rate,1,0.0001117064747526153,5,Multinomial logistic regression
respiratory_rate,2,7.244277769019591e-05,5,Multinomial logistic regression
temperature,1,0.0003739859359203901,5,Multinomial logistic regression
temperature,2,0.0005444154752416996,5,Multinomial logistic regression
pao2_fio2_ratio,1,0.002862045436810956,5,Multinomial logistic regression
pao2_fio2_ratio,2,0.0017016509860961482,5,Multinomial logistic regression
albumin,1,0.001659237425848864,5,Multinomial logistic regression
albumin,2,0.00044569103826017087,5,Multinomial logistic regression
bilirubin,1,0.0019274330317928245,5,Multinomial logistic regression
bilirubin,2,0.002074643552795352,5,Multinomial logistic regression
creatinine,1,-0.0003549084958325288,5,Multinomial logistic regression
creatinine,2,0.000329642584048051,5,Multinomial logistic regression
sodium,1,-0.0002279106515073459,5,Multinomial logistic regression
sodium,2,0.00014528066479244095,5,Multinomial logistic regression
arterial_ph,1,0.002269518836225448,5,Multinomial logistic regression
arterial_ph,2,0.002454584279172445,5,Multinomial logistic regression
glucose,1,0.0005144864571477448,5,Multinomial logistic regression
glucose,2,0.0003479126328389537,5,Multinomial logistic regression
blood_urea_nitrogen,1,0.0006800375545132353,5,Multinomial logistic regression
blood_urea_nitrogen,2,0.0006895403546927914,5,Multinomial logistic regression
urine_output,1,0.0016401584653716883,5,Multinomial logistic regression
urine_output,2,0.0022604185359794693,5,Multinomial logistic regression
